Gender,Parental Education Level,Your Interest,Test Preparation,Hours Studied,Attendance,Class Group,Performance
Male,High School,Music,Completed,4.7,83.6,B,Excellent
Male,Doctorate,Reading and Literature,Completed,5.0,100.0,D,Excellent
Male,High School,Arts & Creativity,Completed,3.6,72.7,E,Average
Male,Master’s Degree,Technology and Computers,None,4.9,92.7,E,Excellent
Female,Some College,Sports & Athletics,Completed,3.3,80.4,A,Good
Male,Doctorate,Sports & Athletics,Completed,3.3,70.3,B,Average
Male,Associate Degree,Arts & Creativity,Completed,4.4,65.9,A,Average
Female,Associate Degree,Reading and Literature,Completed,1.4,69.4,A,Below Average
Female,Master’s Degree,Arts & Creativity,None,1.0,78.1,D,Below Average
Male,Master’s Degree,Music,None,1.1,60.9,E,Below Average
Female,Master’s Degree,Technology and Computers,None,4.7,82.7,A,Good
Male,Associate Degree,Arts & Creativity,None,2.6,60.8,A,Below Average
Female,Associate Degree,Sports & Athletics,None,1.7,76.1,C,Average
Male,Associate Degree,Music,Completed,2.3,78.8,C,Average
Male,Master’s Degree,Technology and Computers,Completed,3.1,72.1,B,Average
Male,Bachelor’s Degree,Sports & Athletics,Completed,3.1,93.5,E,Good
Male,Doctorate,Music,None,2.5,64.4,A,Below Average
Male,High School,Music,Completed,5.2,72.8,A,Good
Male,Master’s Degree,Music,Completed,4.3,65.4,D,Average
Female,Doctorate,Sports & Athletics,Completed,2.0,77.0,B,Average
Male,Doctorate,Reading and Literature,Completed,5.1,86.7,E,Excellent
Female,Master’s Degree,Sports & Athletics,Completed,3.8,72.0,B,Good
Female,High School,Arts & Creativity,None,0.3,67.8,B,Below Average
Male,Doctorate,Sports & Athletics,Completed,3.3,85.6,D,Good
Female,Master’s Degree,Sports & Athletics,Completed,4.5,67.4,E,Good
Male,Doctorate,Arts & Creativity,None,3.0,71.1,E,Average
Female,Doctorate,Music,Completed,3.0,81.1,D,Good
Male,Bachelor’s Degree,Arts & Creativity,None,4.0,84.3,C,Good
Male,Master’s Degree,Arts & Creativity,None,1.2,71.9,C,Below Average
Male,Some College,Music,None,3.0,84.8,E,Good
Male,Master’s Degree,Music,Completed,3.3,73.1,A,Average
Female,Associate Degree,Technology and Computers,Completed,2.3,63.0,E,Below Average
Male,High School,Sports & Athletics,None,3.7,88.6,E,Good
Male,Some College,Sports & Athletics,None,2.4,85.0,B,Average
Female,Master’s Degree,Reading and Literature,Completed,4.5,78.5,B,Good
Male,Doctorate,Music,Completed,4.5,100.0,C,Excellent
Female,Master’s Degree,Sports & Athletics,Completed,3.9,90.6,B,Good
Male,Associate Degree,Arts & Creativity,Completed,0.1,83.2,B,Below Average
Male,High School,Arts & Creativity,None,2.6,72.0,A,Average
Male,High School,Arts & Creativity,None,2.6,55.1,A,Below Average
Male,Associate Degree,Sports & Athletics,Completed,3.7,78.6,B,Good
Female,Some College,Sports & Athletics,None,4.7,79.8,B,Good
Male,High School,Sports & Athletics,Completed,2.8,70.0,D,Average
Female,Doctorate,Arts & Creativity,None,3.9,78.3,A,Good
Male,Bachelor’s Degree,Music,None,1.7,80.1,A,Average
Male,Some College,Technology and Computers,Completed,4.1,94.7,B,Excellent
Female,Some College,Music,Completed,2.9,71.7,A,Average
Female,Master’s Degree,Arts & Creativity,Completed,3.4,60.4,E,Average
Male,High School,Technology and Computers,Completed,4.4,87.6,D,Excellent
Female,Some College,Sports & Athletics,None,2.5,72.7,B,Average
Female,High School,Sports & Athletics,Completed,1.9,70.8,D,Below Average
Female,Bachelor’s Degree,Reading and Literature,None,2.0,67.0,D,Below Average
Male,Some College,Music,Completed,3.8,79.0,A,Good
Male,Doctorate,Music,Completed,6.8,86.7,E,Excellent
Female,Master’s Degree,Reading and Literature,Completed,4.4,84.3,E,Good
Male,Some College,Arts & Creativity,Completed,1.1,74.7,B,Below Average
Female,High School,Reading and Literature,Completed,4.1,100.0,E,Excellent
Male,Master’s Degree,Arts & Creativity,Completed,3.7,78.0,E,Good
Female,Associate Degree,Technology and Computers,None,2.4,63.3,C,Below Average
Male,Associate Degree,Sports & Athletics,Completed,5.7,92.5,C,Excellent
Female,Associate Degree,Arts & Creativity,Completed,5.2,75.9,E,Good
Male,High School,Reading and Literature,Completed,6.1,71.0,C,Excellent
Male,Associate Degree,Arts & Creativity,None,3.4,96.9,C,Excellent
Female,Some College,Sports & Athletics,None,1.0,69.3,C,Below Average
Male,Doctorate,Reading and Literature,Completed,4.1,80.0,A,Good
Male,Associate Degree,Arts & Creativity,None,0.2,75.7,E,Below Average
Male,Associate Degree,Music,None,0.9,79.7,C,Below Average
Male,Doctorate,Music,Completed,2.6,90.5,C,Good
Male,High School,Sports & Athletics,None,1.3,71.8,A,Below Average
Male,Associate Degree,Technology and Computers,None,3.7,62.7,C,Average
Male,Doctorate,Sports & Athletics,Completed,4.3,98.1,D,Excellent
Male,High School,Arts & Creativity,None,0.1,76.8,B,Below Average
Male,Associate Degree,Reading and Literature,Completed,4.4,92.8,D,Excellent
Male,High School,Music,Completed,2.1,61.8,A,Below Average
Female,Some College,Technology and Computers,None,3.3,78.0,C,Good
Female,Master’s Degree,Technology and Computers,None,2.9,78.5,B,Average
Male,Some College,Sports & Athletics,Completed,3.0,77.3,C,Average
Female,Doctorate,Technology and Computers,Completed,4.4,77.9,A,Good
Female,High School,Sports & Athletics,Completed,6.8,89.7,D,Excellent
Female,Associate Degree,Technology and Computers,Completed,2.2,81.6,B,Average
Female,Associate Degree,Music,None,1.0,82.9,C,Average
Female,Doctorate,Reading and Literature,Completed,5.7,76.8,E,Excellent
Female,High School,Arts & Creativity,None,3.9,79.1,C,Good
Male,Master’s Degree,Music,Completed,5.2,100.0,E,Excellent
Female,Associate Degree,Music,Completed,3.6,67.5,E,Average
Male,Bachelor’s Degree,Reading and Literature,Completed,2.7,66.8,A,Average
Female,High School,Reading and Literature,None,2.4,78.4,E,Average
Male,Associate Degree,Sports & Athletics,Completed,4.4,93.3,C,Excellent
Female,Doctorate,Arts & Creativity,None,2.5,89.5,C,Good
Female,Doctorate,Sports & Athletics,Completed,3.6,100.0,C,Excellent
Male,Some College,Sports & Athletics,None,3.4,66.4,D,Average
Male,Master’s Degree,Reading and Literature,Completed,2.4,79.8,E,Average
Male,Associate Degree,Music,Completed,3.7,82.1,E,Good
Female,Bachelor’s Degree,Sports & Athletics,Completed,4.7,84.3,B,Excellent
Female,Doctorate,Technology and Computers,None,1.2,59.9,C,Below Average
Female,High School,Technology and Computers,None,1.8,83.6,B,Average
Male,Some College,Arts & Creativity,Completed,4.3,72.5,D,Good
Male,Bachelor’s Degree,Sports & Athletics,None,2.8,78.9,E,Average
Male,Doctorate,Sports & Athletics,Completed,2.7,76.5,B,Average
Male,Doctorate,Arts & Creativity,None,2.6,63.6,A,Below Average
Female,Some College,Technology and Computers,None,3.0,80.6,E,Good
Female,High School,Reading and Literature,Completed,5.6,95.5,A,Excellent
Female,Some College,Sports & Athletics,None,0.4,65.6,E,Poor
Female,Bachelor’s Degree,Reading and Literature,None,3.3,80.1,E,Good
Female,Master’s Degree,Sports & Athletics,None,3.3,100.0,D,Excellent
Female,Associate Degree,Technology and Computers,None,3.4,86.4,C,Good
Female,Doctorate,Technology and Computers,Completed,5.4,91.5,A,Excellent
Female,Some College,Music,Completed,3.5,82.6,E,Good
Male,Some College,Technology and Computers,Completed,2.8,72.6,B,Average
Male,High School,Sports & Athletics,Completed,3.3,75.8,E,Average
Female,Bachelor’s Degree,Arts & Creativity,Completed,7.5,66.3,D,Excellent
Female,Master’s Degree,Arts & Creativity,None,3.5,58.9,E,Average
Female,Bachelor’s Degree,Arts & Creativity,None,1.8,85.9,C,Average
Female,Bachelor’s Degree,Reading and Literature,None,2.6,64.2,E,Average
Male,Bachelor’s Degree,Technology and Computers,Completed,2.9,81.8,D,Good
Male,Bachelor’s Degree,Music,None,1.4,77.2,D,Average
Male,Bachelor’s Degree,Technology and Computers,None,2.6,68.5,E,Average
Male,Bachelor’s Degree,Reading and Literature,Completed,7.2,91.3,A,Excellent
Male,Doctorate,Sports & Athletics,Completed,1.0,76.9,D,Below Average
Male,High School,Music,Completed,3.0,83.5,B,Good
Female,Associate Degree,Music,None,1.3,73.9,D,Below Average
Female,Bachelor’s Degree,Music,None,3.3,83.7,D,Good
Male,Doctorate,Reading and Literature,Completed,2.2,71.7,C,Average
Male,Doctorate,Arts & Creativity,None,1.8,68.5,A,Below Average
Male,Some College,Technology and Computers,None,5.1,89.0,E,Excellent
Male,Some College,Technology and Computers,Completed,2.1,84.2,A,Average
Male,Bachelor’s Degree,Music,None,5.7,95.3,B,Excellent
Male,Some College,Music,Completed,1.7,70.2,A,Below Average
Female,Master’s Degree,Sports & Athletics,Completed,5.9,77.9,B,Excellent
Male,Master’s Degree,Technology and Computers,Completed,4.7,92.7,C,Excellent
Male,Master’s Degree,Arts & Creativity,Completed,2.6,74.4,D,Average
Female,High School,Reading and Literature,None,0.0,64.8,A,Poor
Female,Bachelor’s Degree,Arts & Creativity,Completed,3.6,62.5,C,Average
Female,Doctorate,Technology and Computers,Completed,6.4,70.7,E,Excellent
Female,Master’s Degree,Reading and Literature,None,1.8,76.3,D,Average
Female,Doctorate,Reading and Literature,Completed,6.2,70.6,B,Excellent
Male,Associate Degree,Sports & Athletics,Completed,5.7,85.1,D,Excellent
Female,Associate Degree,Arts & Creativity,Completed,2.5,79.6,C,Average
Male,Bachelor’s Degree,Technology and Computers,Completed,4.3,79.0,C,Good
Female,Associate Degree,Reading and Literature,None,2.6,71.1,C,Average
Male,Master’s Degree,Technology and Computers,Completed,4.2,91.6,D,Excellent
Female,Master’s Degree,Technology and Computers,None,4.9,72.6,D,Good
Female,High School,Arts & Creativity,Completed,7.2,65.5,D,Excellent
Male,Associate Degree,Reading and Literature,Completed,3.8,80.9,E,Good
Female,Bachelor’s Degree,Reading and Literature,Completed,4.4,78.8,D,Good
Female,Associate Degree,Music,Completed,3.7,70.1,B,Average
Female,High School,Reading and Literature,None,1.6,83.5,B,Average
Male,Some College,Sports & Athletics,Completed,4.5,78.1,E,Good
Female,High School,Technology and Computers,Completed,5.3,88.1,C,Excellent
Male,Associate Degree,Arts & Creativity,None,3.7,81.3,B,Good
Female,High School,Arts & Creativity,Completed,2.8,69.4,B,Average
Female,High School,Arts & Creativity,Completed,5.1,91.1,D,Excellent
Female,Bachelor’s Degree,Music,Completed,4.0,76.2,A,Good
Female,Bachelor’s Degree,Arts & Creativity,None,4.4,79.1,D,Good
Female,High School,Reading and Literature,None,3.3,73.0,A,Average
Male,Some College,Reading and Literature,None,2.2,86.0,A,Average
Male,High School,Reading and Literature,None,3.7,83.1,E,Good
Male,Master’s Degree,Sports & Athletics,Completed,6.0,85.2,D,Excellent
Female,Master’s Degree,Sports & Athletics,Completed,5.0,81.9,E,Excellent
Male,Master’s Degree,Arts & Creativity,None,3.0,73.7,B,Average
Male,Associate Degree,Arts & Creativity,Completed,4.1,91.0,B,Excellent
Male,Some College,Arts & Creativity,Completed,2.8,95.9,E,Good
Female,Associate Degree,Arts & Creativity,Completed,2.5,62.9,C,Below Average
Female,High School,Technology and Computers,None,4.2,92.9,E,Excellent
Male,Bachelor’s Degree,Arts & Creativity,Completed,4.9,91.3,B,Excellent
Female,Some College,Arts & Creativity,Completed,4.0,66.0,C,Average
Female,Bachelor’s Degree,Arts & Creativity,Completed,4.1,78.2,C,Good
Female,Associate Degree,Reading and Literature,Completed,5.5,83.5,D,Excellent
Male,Master’s Degree,Arts & Creativity,None,1.3,71.8,C,Below Average
Female,High School,Arts & Creativity,Completed,4.6,79.4,E,Good
Male,Doctorate,Music,Completed,2.8,77.4,B,Average
Female,Master’s Degree,Sports & Athletics,None,2.9,69.9,B,Average
Female,Doctorate,Sports & Athletics,None,1.8,77.3,D,Average
Female,Bachelor’s Degree,Music,Completed,1.8,60.9,A,Below Average
Male,Associate Degree,Sports & Athletics,None,1.4,72.9,C,Below Average
Female,Master’s Degree,Arts & Creativity,Completed,4.5,99.8,C,Excellent
Female,Associate Degree,Arts & Creativity,None,3.8,73.4,D,Good
Male,Doctorate,Reading and Literature,Completed,4.0,65.0,A,Average
Male,Master’s Degree,Music,None,2.5,72.1,D,Average
Female,High School,Technology and Computers,Completed,4.5,76.7,B,Good
Female,Bachelor’s Degree,Sports & Athletics,Completed,4.8,100.0,E,Excellent
Male,Doctorate,Technology and Computers,Completed,3.8,79.0,A,Good
Female,High School,Technology and Computers,None,3.5,71.0,A,Average
Female,High School,Technology and Computers,Completed,4.3,85.1,C,Good
Female,Bachelor’s Degree,Sports & Athletics,None,2.6,67.3,B,Average
Female,Master’s Degree,Technology and Computers,Completed,4.0,80.0,E,Good
Male,High School,Music,None,4.7,94.6,D,Excellent
Female,Master’s Degree,Music,None,5.7,77.3,C,Excellent
Female,Master’s Degree,Reading and Literature,None,3.8,76.8,D,Good
Male,Bachelor’s Degree,Reading and Literature,Completed,7.3,76.9,C,Excellent
Female,Bachelor’s Degree,Music,None,1.2,69.0,B,Below Average
Female,Some College,Sports & Athletics,Completed,0.8,69.7,D,Below Average
Female,Bachelor’s Degree,Technology and Computers,Completed,2.9,76.5,A,Average
Male,Master’s Degree,Reading and Literature,Completed,4.5,100.0,A,Excellent
Female,High School,Reading and Literature,None,3.9,69.2,A,Average
Male,Bachelor’s Degree,Technology and Computers,Completed,2.7,79.9,C,Average
Female,Master’s Degree,Sports & Athletics,None,0.5,93.3,C,Average
Female,Associate Degree,Sports & Athletics,None,4.3,80.3,A,Good
Male,Some College,Music,None,0.0,88.5,A,Below Average
Female,High School,Arts & Creativity,Completed,3.8,87.4,C,Good
Male,High School,Music,None,0.1,69.0,C,Below Average
Female,Associate Degree,Sports & Athletics,Completed,4.0,75.5,E,Good
Female,Master’s Degree,Technology and Computers,Completed,3.3,81.2,A,Good
Female,Master’s Degree,Technology and Computers,Completed,2.4,73.6,E,Average
Male,Some College,Sports & Athletics,None,2.7,80.1,D,Average
Female,Doctorate,Arts & Creativity,None,3.6,63.8,D,Average
Female,Doctorate,Reading and Literature,Completed,1.7,87.8,D,Average
Female,Master’s Degree,Music,None,3.0,67.5,D,Average
Female,Bachelor’s Degree,Music,Completed,6.3,86.2,D,Excellent
Female,High School,Technology and Computers,Completed,5.8,85.7,C,Excellent
Female,Doctorate,Music,Completed,7.1,100.0,D,Excellent
Female,High School,Reading and Literature,None,2.1,84.7,A,Average
Female,Associate Degree,Technology and Computers,None,3.5,88.7,C,Good
Male,Doctorate,Technology and Computers,None,1.1,81.9,B,Average
Male,Doctorate,Arts & Creativity,Completed,5.6,67.4,D,Good
Male,Master’s Degree,Music,None,0.7,54.6,A,Poor
Female,Associate Degree,Sports & Athletics,Completed,3.6,82.2,B,Good
Female,Master’s Degree,Reading and Literature,None,4.8,85.7,B,Excellent
Female,Bachelor’s Degree,Music,None,4.9,71.2,C,Good
Male,Bachelor’s Degree,Arts & Creativity,Completed,1.4,74.4,B,Below Average
Female,Master’s Degree,Music,Completed,4.6,84.7,D,Excellent
Male,Associate Degree,Reading and Literature,Completed,0.9,74.1,C,Below Average
Female,Master’s Degree,Sports & Athletics,None,0.5,81.7,C,Below Average
Male,Doctorate,Technology and Computers,Completed,4.5,75.6,E,Good
Female,Master’s Degree,Technology and Computers,None,1.7,64.4,D,Below Average
Female,Doctorate,Sports & Athletics,Completed,3.9,84.6,A,Good
Male,Associate Degree,Sports & Athletics,Completed,2.5,80.0,B,Average
Male,Bachelor’s Degree,Sports & Athletics,Completed,3.2,67.1,E,Average
Female,Master’s Degree,Technology and Computers,None,2.3,64.6,A,Below Average
Female,Master’s Degree,Sports & Athletics,None,1.7,63.0,C,Below Average
Male,Doctorate,Music,Completed,6.9,85.4,D,Excellent
Male,Associate Degree,Arts & Creativity,None,1.5,77.1,C,Average
Female,High School,Sports & Athletics,Completed,3.8,72.8,A,Good
Female,High School,Technology and Computers,None,3.4,82.6,E,Good
Male,High School,Music,Completed,3.2,69.2,B,Average
Male,High School,Reading and Literature,Completed,3.6,52.0,B,Below Average
Male,Associate Degree,Technology and Computers,None,0.2,88.7,E,Average
Male,Associate Degree,Technology and Computers,None,5.0,82.5,E,Excellent
Female,Some College,Arts & Creativity,None,3.4,78.1,A,Good
Male,High School,Music,None,7.1,96.2,B,Excellent
Female,High School,Technology and Computers,Completed,3.8,65.4,B,Average
Female,Master’s Degree,Arts & Creativity,None,0.1,77.0,D,Below Average
Female,Associate Degree,Reading and Literature,Completed,2.9,60.8,D,Below Average
Male,Master’s Degree,Arts & Creativity,None,1.5,64.2,E,Below Average
Female,Bachelor’s Degree,Arts & Creativity,Completed,6.5,93.8,D,Excellent
Female,Bachelor’s Degree,Arts & Creativity,Completed,4.0,89.8,D,Good
Male,High School,Music,None,2.6,66.4,A,Average
Male,Associate Degree,Reading and Literature,None,4.8,90.4,E,Excellent
Female,Bachelor’s Degree,Reading and Literature,Completed,2.4,73.1,D,Average
Female,High School,Arts & Creativity,None,1.2,61.2,E,Below Average
Male,Bachelor’s Degree,Sports & Athletics,None,3.9,94.1,D,Excellent
Female,Bachelor’s Degree,Sports & Athletics,Completed,1.9,80.6,A,Average
Female,Bachelor’s Degree,Music,None,1.5,70.1,C,Below Average
Male,Doctorate,Sports & Athletics,Completed,3.1,66.4,A,Average
Male,Bachelor’s Degree,Arts & Creativity,None,2.6,66.7,C,Average
Male,Master’s Degree,Arts & Creativity,Completed,4.4,84.5,E,Good
Female,Doctorate,Arts & Creativity,Completed,3.6,65.9,D,Average
Male,Associate Degree,Reading and Literature,Completed,3.1,82.6,A,Good
Male,Some College,Sports & Athletics,Completed,4.8,75.2,A,Good
Female,Master’s Degree,Music,Completed,4.1,92.5,C,Excellent
Male,Bachelor’s Degree,Reading and Literature,None,0.0,80.4,E,Below Average
Male,Master’s Degree,Music,Completed,3.0,80.7,C,Good
Female,Associate Degree,Music,Completed,2.9,57.0,B,Below Average
Female,High School,Technology and Computers,None,0.1,75.5,A,Below Average
Male,Doctorate,Reading and Literature,Completed,4.4,76.0,D,Good
Female,Associate Degree,Technology and Computers,Completed,5.0,68.4,C,Good
Male,High School,Technology and Computers,Completed,3.9,62.9,E,Average
Male,Doctorate,Arts & Creativity,Completed,3.0,75.5,D,Average
Female,Master’s Degree,Sports & Athletics,Completed,2.7,71.2,B,Average
Male,Associate Degree,Sports & Athletics,Completed,5.5,79.2,E,Excellent
Female,Master’s Degree,Music,Completed,5.3,73.7,D,Good
Male,High School,Technology and Computers,Completed,4.8,99.4,B,Excellent
Male,Associate Degree,Music,Completed,0.3,67.0,A,Below Average
Female,Doctorate,Sports & Athletics,Completed,4.9,83.0,D,Excellent
Male,Master’s Degree,Reading and Literature,None,3.1,69.0,C,Average
Male,Bachelor’s Degree,Arts & Creativity,Completed,4.1,83.4,D,Good
Male,Associate Degree,Reading and Literature,Completed,5.8,87.5,D,Excellent
Female,Associate Degree,Arts & Creativity,Completed,4.5,80.9,C,Good
Male,Master’s Degree,Sports & Athletics,None,1.8,70.7,C,Below Average
Male,Bachelor’s Degree,Arts & Creativity,Completed,4.6,80.8,E,Good
Female,Master’s Degree,Arts & Creativity,Completed,4.4,100.0,C,Excellent
Female,Some College,Music,None,3.8,71.7,A,Average
Male,Master’s Degree,Reading and Literature,Completed,5.8,80.9,C,Excellent
Female,Doctorate,Technology and Computers,Completed,0.9,64.9,B,Below Average
Female,Some College,Technology and Computers,None,0.0,71.5,A,Below Average
Male,Doctorate,Sports & Athletics,Completed,4.0,91.8,E,Excellent
Female,Doctorate,Reading and Literature,None,3.0,72.8,E,Average
Female,Doctorate,Music,Completed,5.2,62.9,A,Good
Female,Bachelor’s Degree,Music,None,2.9,82.7,E,Good
Male,Associate Degree,Reading and Literature,Completed,1.8,86.4,D,Average
Female,High School,Arts & Creativity,Completed,4.5,80.8,C,Good
Male,Doctorate,Arts & Creativity,None,3.4,97.7,E,Excellent
Female,Bachelor’s Degree,Reading and Literature,Completed,4.3,87.5,A,Excellent
Female,Master’s Degree,Technology and Computers,Completed,3.3,66.5,D,Average
Male,High School,Sports & Athletics,Completed,5.2,76.4,C,Good
Male,Master’s Degree,Technology and Computers,Completed,4.1,80.2,D,Good
Female,Master’s Degree,Reading and Literature,None,3.2,78.3,C,Good
Female,Associate Degree,Sports & Athletics,Completed,5.6,79.9,C,Excellent
Male,Doctorate,Music,Completed,3.6,65.2,A,Average
Female,Associate Degree,Music,None,1.8,78.8,E,Average
Male,Associate Degree,Arts & Creativity,Completed,5.1,75.8,B,Good
Female,Associate Degree,Sports & Athletics,Completed,5.3,98.6,A,Excellent
Female,Master’s Degree,Sports & Athletics,None,3.1,93.8,C,Good
Male,Doctorate,Reading and Literature,Completed,2.8,62.6,D,Average
Female,High School,Music,Completed,1.3,90.0,B,Average
Female,Bachelor’s Degree,Technology and Computers,Completed,5.0,84.4,B,Excellent
Male,High School,Music,None,2.9,63.7,A,Average
Male,Doctorate,Music,None,6.2,86.3,E,Excellent
Male,Master’s Degree,Sports & Athletics,Completed,4.2,92.3,B,Excellent
Male,Doctorate,Sports & Athletics,Completed,4.7,87.2,C,Excellent
Male,Bachelor’s Degree,Reading and Literature,Completed,2.8,79.7,D,Average
Male,Master’s Degree,Technology and Computers,Completed,6.8,98.5,D,Excellent
Male,Associate Degree,Reading and Literature,None,4.9,79.9,D,Good
Female,Bachelor’s Degree,Reading and Literature,Completed,2.5,73.7,B,Average
Male,Master’s Degree,Technology and Computers,None,2.6,85.9,A,Good
Female,Associate Degree,Reading and Literature,None,0.0,90.3,E,Average
Male,Associate Degree,Arts & Creativity,None,2.3,70.7,C,Average
Female,Master’s Degree,Technology and Computers,None,1.0,58.5,A,Poor
Male,Bachelor’s Degree,Music,None,3.7,75.7,D,Good
Male,Bachelor’s Degree,Reading and Literature,Completed,2.1,62.0,D,Below Average
Male,Associate Degree,Technology and Computers,Completed,3.5,91.7,A,Good
Female,Some College,Technology and Computers,Completed,3.6,60.0,D,Average
Male,Doctorate,Sports & Athletics,Completed,3.6,72.3,A,Average
Male,High School,Music,Completed,0.0,74.5,B,Below Average
Female,High School,Music,Completed,3.7,82.0,A,Good
Male,Some College,Sports & Athletics,None,5.3,96.3,E,Excellent
Female,High School,Arts & Creativity,None,2.1,63.9,D,Below Average
Male,Doctorate,Reading and Literature,Completed,7.9,85.6,B,Excellent
Female,Bachelor’s Degree,Arts & Creativity,None,2.5,74.8,B,Average
Female,Some College,Arts & Creativity,Completed,4.3,83.6,C,Good
Male,Master’s Degree,Reading and Literature,Completed,3.1,69.5,E,Average
Male,Bachelor’s Degree,Sports & Athletics,Completed,4.0,69.6,D,Average
Female,Associate Degree,Arts & Creativity,Completed,2.9,76.1,A,Average
Female,Some College,Arts & Creativity,None,2.1,90.0,C,Good
Male,High School,Music,Completed,0.0,85.9,B,Below Average
Female,Doctorate,Sports & Athletics,None,4.4,64.3,B,Average
Male,Doctorate,Sports & Athletics,Completed,3.5,71.3,B,Average
Male,Some College,Arts & Creativity,Completed,1.9,67.2,C,Below Average
Female,Master’s Degree,Sports & Athletics,Completed,2.3,92.5,B,Good
Female,Associate Degree,Arts & Creativity,None,3.9,87.7,C,Good
Female,High School,Music,Completed,5.1,73.7,D,Good
Female,Bachelor’s Degree,Music,None,1.7,79.9,D,Average
Female,Associate Degree,Reading and Literature,Completed,2.2,82.1,A,Average
Female,High School,Sports & Athletics,None,2.1,71.3,B,Average
Female,Associate Degree,Arts & Creativity,Completed,5.1,89.4,C,Excellent
Female,Bachelor’s Degree,Reading and Literature,None,2.0,86.6,B,Average
Female,Associate Degree,Sports & Athletics,Completed,2.4,81.2,C,Average
Female,Associate Degree,Arts & Creativity,Completed,4.9,81.9,D,Excellent
Female,Master’s Degree,Technology and Computers,None,3.0,62.5,B,Average
Female,High School,Technology and Computers,Completed,5.4,83.2,C,Excellent
Female,Bachelor’s Degree,Reading and Literature,Completed,3.2,85.5,B,Good
Female,Associate Degree,Music,Completed,2.9,60.9,A,Below Average
Male,Master’s Degree,Music,Completed,1.7,81.1,C,Average
Male,High School,Arts & Creativity,None,0.6,92.5,D,Average
Female,Master’s Degree,Arts & Creativity,Completed,0.9,92.0,C,Average
Female,Some College,Reading and Literature,Completed,4.3,84.0,D,Good
Male,High School,Technology and Computers,None,1.7,79.0,D,Average
Male,Doctorate,Sports & Athletics,None,2.4,86.0,C,Good
Female,Doctorate,Arts & Creativity,Completed,4.2,86.5,C,Good
Female,Some College,Technology and Computers,None,2.0,74.4,E,Average
Male,High School,Technology and Computers,None,3.0,57.9,B,Below Average
Female,High School,Music,Completed,2.0,82.4,C,Average
Female,Master’s Degree,Technology and Computers,None,2.8,73.2,A,Average
Male,Associate Degree,Sports & Athletics,None,2.5,78.5,D,Average
Female,Bachelor’s Degree,Reading and Literature,Completed,3.2,67.2,C,Average
Male,Bachelor’s Degree,Sports & Athletics,None,2.8,65.2,C,Average
Male,Master’s Degree,Reading and Literature,Completed,4.6,68.0,B,Good
Female,Master’s Degree,Arts & Creativity,None,4.0,79.7,E,Good
Male,Associate Degree,Technology and Computers,Completed,4.4,94.8,B,Excellent
Female,Master’s Degree,Music,None,5.0,95.1,C,Excellent
Male,Doctorate,Reading and Literature,Completed,1.2,62.2,C,Below Average
Male,Master’s Degree,Technology and Computers,Completed,3.1,75.3,E,Average
Male,Some College,Reading and Literature,None,3.3,67.7,E,Average
Female,Master’s Degree,Arts & Creativity,None,2.8,67.4,A,Average
Male,High School,Reading and Literature,Completed,3.1,60.9,B,Average
Female,Master’s Degree,Arts & Creativity,Completed,2.6,61.5,E,Below Average
Female,Doctorate,Music,Completed,2.5,85.5,D,Good
Female,Bachelor’s Degree,Arts & Creativity,None,1.1,100.0,B,Good
Female,Bachelor’s Degree,Sports & Athletics,Completed,4.7,86.8,C,Excellent
Male,Associate Degree,Music,None,1.2,82.0,C,Average
Female,Some College,Music,Completed,3.1,76.2,A,Average
Female,Some College,Sports & Athletics,Completed,7.8,84.0,D,Excellent
Male,Some College,Arts & Creativity,Completed,5.7,78.0,D,Excellent
Female,Some College,Technology and Computers,None,2.4,92.7,E,Good
Female,Some College,Technology and Computers,Completed,3.1,93.1,E,Good
Female,Bachelor’s Degree,Music,Completed,5.1,79.4,A,Excellent
Female,Master’s Degree,Sports & Athletics,None,3.4,84.7,B,Good
Female,High School,Arts & Creativity,Completed,4.9,69.3,E,Good
Female,Associate Degree,Reading and Literature,Completed,2.9,72.5,A,Average
Female,Some College,Music,None,2.4,81.2,D,Average
Female,High School,Sports & Athletics,Completed,4.3,71.6,E,Good
Male,Associate Degree,Reading and Literature,Completed,4.6,91.1,D,Excellent
Female,Master’s Degree,Music,None,3.3,85.8,E,Good
Male,Some College,Arts & Creativity,Completed,5.3,89.6,C,Excellent
Female,Some College,Technology and Computers,None,2.4,58.4,D,Below Average
Male,High School,Arts & Creativity,Completed,4.6,87.1,C,Excellent
Female,Master’s Degree,Sports & Athletics,Completed,4.4,72.2,E,Good
